"Symbol,Name,Data,Last,Change,%Chg,""YTD Chg"",""YTD High"",""YTD Low"",""YTD Avg Vol"",Time"
"BWMX,""Betterware DE Mexico Sapi DE Cv"",+71.50%,11.01,0.81,+7.94%,4.59,11.39,6.26,25564,2023-03-03"
"LMNL,""Liminal Biosciences Inc"",+71.38%,5.57,-0.03,-0.54%,2.32,5.89,3.1,9256,2023-03-03"
"ACCD,""Accolade Inc"",+70.73%,13.3,0.93,+7.52%,5.51,13.62,6.83,763831,2023-03-03"
"EVTV,""Envirotech Vehicles Inc"",+70.42%,3.63,0.04,+1.11%,1.5,4.09,2.22,18319,2023-03-03"
"OMER,""Omeros Corp"",+70.35%,3.85,0.04,+1.05%,1.59,5.42,2.28,1181062,2023-03-03"
"BCTX,""Briacell Therapeutics Corp"",+70.25%,7.44,0.29,+4.06%,3.07,8.1,4.35,247479,2023-03-03"
"PYXS,""Pyxis Oncology Inc"",+69.40%,2.27,-0.23,-9.20%,0.93,2.54,1.34,100326,2023-03-03"
"STTK,""Shattuck Labs Inc"",+68.26%,3.87,-0.24,-5.84%,1.57,4.76,2.34,36762,2023-03-03"
"PROK,""Prokidney Corp"",+68.08%,11.53,-0.04,-0.35%,4.67,13.31,5.9,86026,2023-03-03"
"OSPN,""Onespan Inc"",+67.92%,18.79,0.3,+1.62%,7.6,19.25,11.23,225371,2023-03-03"
"DUOL,""Duolingo Inc Cl A"",+67.68%,119.27,-0.61,-0.51%,48.14,121.33,68.93,522321,2023-03-03"
"MRNS,""Marinus Pharma CS"",+67.59%,6.67,-0.06,-0.89%,2.69,7.5,3.99,441674,2023-03-03"
"UBX,""Unity Biotechnology Inc"",+67.52%,4.59,0.02,+0.44%,1.85,5.72,2.79,266488,2023-03-03"
"OLMA,""Olema Pharmaceuticals Inc"",+67.35%,4.1,0.01,+0.12%,1.65,5.14,2.45,168417,2023-03-03"
"ICPT,""Intercept Pharmaceuticals"",+67.18%,20.68,0.1,+0.49%,8.31,21.86,12.19,765733,2023-03-03"
"DKNG,""Draftkings Inc"",+67.16%,19.04,0.46,+2.48%,7.65,21.62,10.98,14803071,2023-03-03"
"HOV,""Hovnanian Enterprises Inc"",+67.06%,70.3,2.4,+3.53%,28.22,74.5,41.95,86369,2023-03-03"
"WBX,""Wallbox N.V. Cl A"",+66.48%,5.96,0.22,+3.83%,2.38,6.53,3.3,609724,2023-03-03"
"FLUX,""Flux Power Holdings Inc"",+66.25%,6.6,0.09,+1.38%,2.63,7.5,3.88,65629,2023-03-03"
"MNMD,""Mind Medicine Mindmed Inc"",+65.91%,3.65,0.04,+1.11%,1.45,4.28,2.2,611824,2023-03-03"
"DM,""Desktop Metal Inc"",+65.44%,2.25,0.21,+10.29%,0.89,2.4,1.31,4362872,2023-03-03"
"MORF,""Morphic Holding Inc"",+65.35%,44.23,0.48,+1.10%,17.48,44.73,24.87,327664,2023-03-03"
"ACHR,""Archer Aviation Inc"",+65.24%,3.09,0.19,+6.55%,1.22,3.34,1.85,1963433,2023-03-03"
"IKNA,""Ikena Oncology Inc"",+65.04%,4.39,0.33,+8.13%,1.73,4.62,2.46,79055,2023-03-03"
"XM,""Qualtrics International Inc Cl A"",+65.03%,17.13,0.01,+0.06%,6.75,17.4,9.74,2599969,2023-03-03"
"OSH,""Oak Street Health Inc"",+64.99%,35.49,0.2,+0.57%,13.98,35.65,19.73,6224848,2023-03-03"
"CTLT,""Catalent Inc"",+64.99%,74.26,3.07,+4.31%,29.25,74.49,44.49,2651402,2023-03-03"
"SNPO,""Snap One Holdings Corp"",+64.78%,12.21,0.54,+4.63%,4.8,12.38,7.4,43100,2023-03-03"
"GDC,""Gd Culture Group Ltd"",+64.69%,3.44,-0.06,-1.71%,1.35,6.1,1.8,84488,2023-03-03"
"RIG,""Transocean Inc"",+64.69%,7.51,0.15,+2.04%,2.95,7.69,4.16,25341410,2023-03-03"
"PPBT,""Purple Biotech Ltd ADR"",+64.57%,2.27,0.01,+0.62%,0.89,2.37,1.32,47740,2023-03-03"
"NHTC,""Natural Hlth Trd"",+63.85%,5.62,0.23,+4.27%,2.19,7.04,3.44,42905,2023-03-03"
"ACLS,""Axcelis Tech Inc"",+63.70%,129.91,0.74,+0.57%,50.55,132.98,76.97,632979,2023-03-03"
"NVDA,""Nvidia Corp"",+63.47%,238.9,5.76,+2.47%,92.76,239,140.34,50263965,2023-03-03"
"PLRX,""Pliant Therapeutics Inc"",+63.42%,31.59,0.49,+1.58%,12.26,36.64,18.18,988652,2023-03-03"
"WBD,""Discovery Inc Series A"",+63.19%,15.47,0.23,+1.51%,5.99,16.34,9.49,22409014,2023-03-03"
"SOS,""Sos Ltd ADR"",+63.00%,4.45,0.04,+0.91%,1.72,8.49,2.77,187974,2023-03-03"
"ARAV,""Aravive Inc"",+62.88%,2.15,0.23,+11.98%,0.83,2.23,1.26,212833,2023-03-03"
"LUNR,""Intuitive Machines Inc"",+62.80%,16.28,-1.52,-8.54%,6.28,136,8.55,898310,2023-03-03"
"MLGO,""Microalgo Inc"",+62.40%,2.03,-0.08,-3.79%,0.78,3.75,1.21,3283440,2023-03-03"
"SFIX,""Stitch Fix Inc"",+62.38%,5.05,0.28,+5.87%,1.94,6.03,2.92,2761652,2023-03-03"
"YTEN,""Yield10 Bioscience Inc"",+62.32%,2.71,-0.19,-6.55%,1.04,4.19,1.64,389579,2023-03-03"
"QS,""Quantumscape Corp"",+62.26%,9.2,0.32,+3.60%,3.53,11.9,5.27,7318033,2023-03-03"
"NM,""Navios Maritime Holdings Inc"",+61.71%,2.83,-0.0099999999999998,-0.35%,1.08,2.97,1.61,97355,2023-03-03"
"BMEA,""Biomea Fusion Inc"",+61.68%,13.63,0.63,+4.85%,5.2,14.24,6.63,72329,2023-03-03"
"AMC,""Amc Entertainment Holdings"",+61.67%,6.58,0.48,+7.87%,2.51,8.53,3.77,39465813,2023-03-03"
"HIMS,""Hims & Hers Health Inc"",+61.62%,10.36,0.0099999999999998,+0.10%,3.95,12.04,6.01,2690810,2023-03-03"
"ROKU,""Roku Inc"",+61.23%,65.62,1.59,+2.48%,24.92,76.62,39,8549376,2023-03-03"
"AGBA,""Agba Group Holding Ltd"",+61.04%,2.48,-0.02,-0.80%,0.94,6.3,1.48,141576,2023-03-03"
"MCG,""Membership Collective Group Inc Cl A"",+60.96%,6.02,0.14,+2.38%,2.28,7.04,3.8,313607,2023-03-03"
"TSLA,""Tesla Inc"",+60.57%,197.79,6.89,+3.61%,74.61,217.65,101.81,190853953,2023-03-03"
"AOMR,""Angel Oak Mortgage Inc"",+60.47%,7.59,-0.09,-1.17%,2.86,8.74,4.78,108260,2023-03-03"
"FORA,""Forian Inc"",+60.44%,4.38,-0.22,-4.78%,1.65,5.45,2.25,25919,2023-03-03"
"AEHR,""Aehr Test Systems"",+60.30%,32.22,1.72,+5.64%,12.12,37.57,17.05,1904436,2023-03-03"
"MYGN,""Myriad Genetics Inc"",+60.30%,23.26,0.36,+1.57%,8.75,23.38,14.55,608605,2023-03-03"
"YOSH,""Yoshiharu Global Company Cl A"",+59.85%,2.19,-0.05,-2.23%,0.82,2.59,1.02,142219,2023-03-03"
"NVCT,""Nuvectis Pharma Inc"",+59.73%,11.98,0.28,+2.39%,4.48,15.09,7.14,79569,2023-03-03"
"SUP,""Superior Industries International"",+59.72%,6.74,0.8,+13.47%,2.52,6.88,4.06,69114,2023-03-03"
"TYRA,""Tyra Biosciences Inc"",+59.61%,12.13,-0.09,-0.74%,4.53,14.61,6.55,51279,2023-03-03"
"POET,""Poet Technologies Inc"",+59.60%,4.82,0.02,+0.42%,1.8,6.23,3.02,53748,2023-03-03"
"LBPH,""Longboard Pharmaceuticals Inc"",+59.51%,5.2,-0.06,-1.14%,1.94,6.23,3.39,31440,2023-03-03"
"TNYA,""Tenaya Therapeutics Inc"",+59.20%,3.2,0.01,+0.31%,1.19,3.49,1.79,341752,2023-03-03"
"MDXG,""Mimedx Group Inc"",+58.99%,4.42,0.51,+13.04%,1.64,4.86,2.82,579740,2023-03-03"
"LX,""Lexinfintech Holdings Ltd ADR"",+58.95%,3.02,0.09,+3.07%,1.12,3.86,1.93,893174,2023-03-03"
"CNK,""Cinemark Holdings Inc"",+58.78%,13.75,-0.02,-0.15%,5.09,14.05,8.33,3346207,2023-03-03"
"KTCC,""Key Tronic Cp"",+58.66%,6.87,-0.07,-1.01%,2.54,7.4,4.33,46338,2023-03-03"
"ALGN,""Align Technology"",+58.63%,334.56,21.35,+6.82%,123.66,368.87,208.29,1115114,2023-03-03"
"EB,""Eventbrite Inc"",+58.19%,9.27,-0.31,-3.24%,3.41,10.15,5.72,1144445,2023-03-03"
"SPCE,""Virgin Galactic Holdings Inc"",+58.05%,5.5,0.36,+7.00%,2.02,6.61,3.43,11128857,2023-03-03"
"CENX,""Century Aluminum C"",+57.70%,12.9,0.38,+3.04%,4.72,12.97,7.87,1935333,2023-03-03"
"LTH,""Life Time Group Holdings Inc"",+57.61%,18.85,0.97,+5.43%,6.89,20.35,11.58,641445,2023-03-03"
"TWOU,""2U Inc"",+57.58%,9.88,1.17,+13.43%,3.61,13.15,5.92,1125050,2023-03-03"
"ZUO,""Zuora Inc"",+57.55%,10.02,0.39,+4.05%,3.66,10.04,6.18,1249807,2023-03-03"
"FAT,""Fat Brands Inc"",+56.96%,7.76,0.55,+7.55%,2.82,7.92,4.9,14438,2023-03-03"
"DCT,""Duck Creek Technologies Inc"",+56.93%,18.91,0,0.00%,6.86,19.29,10.24,1959136,2023-03-03"
"ZDGE,""Zedge Inc Cl B"",+56.82%,2.76,-0.02,-0.72%,1,3.74,1.75,63660,2023-03-03"
"SPOT,""Spotify Technology S.A."",+56.73%,123.74,5.26,+4.44%,44.79,128.98,79.14,2243709,2023-03-03"
"IOT,""Samsara Inc Cl A"",+56.72%,19.48,2.6,+15.40%,7.05,20.73,10.48,2132752,2023-03-03"
"FRO,""Frontline Plc"",+56.34%,18.98,0.68,+3.72%,6.84,19.29,10.55,4668759,2023-03-03"
"INTA,""Intapp Inc"",+56.34%,38.99,-0.87,-2.18%,14.05,40.36,23.86,257176,2023-03-03"
"UPXI,""Upexi Inc"",+56.33%,4.69,-0.06,-1.26%,1.69,4.9,2.53,41629,2023-03-03"
"AGL,""Agilon Health Inc"",+56.26%,25.22,0.75,+3.06%,9.08,25.81,15,2175079,2023-03-03"
"SCX,""L.S. Starrett Company"",+56.25%,11.5,0.6,+5.50%,4.14,11.56,7.34,19257,2023-03-03"
"PRG,""Prog Hldgs Inc"",+56.01%,26.35,1.53,+6.16%,9.46,26.99,16.75,465752,2023-03-03"
Downloaded from Barchart.com as of 03-05-2023 05:28am CST
