"Symbol,Name,Data,Last,Change,%Chg,""2Y Chg"",""2Y High"",""2Y Low"",Time"
"QRHC,""Quest Resource"",+122.88%,6.82,-0.18,-2.57%,3.76,9.69,2.8,2023-03-03"
"FIX,""Comfort Systems USA"",+121.30%,151.04,3.84,+2.61%,82.79,152.13,66.29,2023-03-03"
"ATKR,""Atkore Inc"",+121.18%,153.01,1.02,+0.67%,83.83,154.86,64.35,2023-03-03"
"TMDX,""Transmedics Group Inc"",+119.78%,82.33,2.28,+2.85%,44.87,82.53,10,2023-03-03"
"CCRN,""Cross Ctry Hlthcr"",+117.23%,25.59,-0.04,-0.16%,13.81,40.12,11.5,2023-03-03"
"CVV,""CVD Equipment Corp"",+116.70%,10.9,-0.06,-0.55%,5.87,15.82,3.68,2023-03-03"
"COKE,""Coca Cola Bot Cons"",+115.69%,549.93,-1.83,-0.33%,294.97,656.11,254.85,2023-03-03"
"KFS,""Kingsway Financial Services"",+115.67%,10.05,0.4,+4.15%,5.39,10.1,4.07,2023-03-03"
"PANL,""Pangaea Logistics So"",+115.56%,6.79,0.16,+2.41%,3.64,7.05,2.86,2023-03-03"
"DMLP,""Dorchester Minerals"",+114.24%,31.3,-0.01,-0.03%,16.69,32.61,13.51,2023-03-03"
"VET,""Vermilion Energy Inc"",+114.09%,14.13,0.27,+1.95%,7.53,30.17,5.51,2023-03-03"
"RMBS,""Rambus Inc"",+113.73%,44.69,0.2,+0.45%,23.78,46.16,17.95,2023-03-03"
"OXY,""Occidental Petroleum Corp"",+113.71%,61.25,0.98,+1.63%,32.59,77.13,21.62,2023-03-03"
"TMST,""Timken Steel Corp"",+113.53%,19.73,0.55,+2.87%,10.49,26.23,8.28,2023-03-03"
"GLNG,""Golar Lng Ltd"",+113.46%,22.99,0.45,+2.00%,12.22,30.66,9.26,2023-03-03"
"PDFS,""Pdf Solutions Inc"",+112.87%,38.38,0.91,+2.43%,20.35,38.39,16.44,2023-03-03"
